GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-COREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION DE LA VICTIMA,CLASE DE SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA, , 
DAÑOS,01/04/2020 12:00:00 AM,2020,1899-12-31T07:00:00.000,MAÑANA,6_SABADO,CORONADO ROZO,CORONADO ROZO,RURAL,TECNICO,356.461,-7.631.021,ADELANTAR INVADIENDO CARRIL,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,VOLQUETA,DODGE,NARIÑO,PARTICULAR,NO APLICA,,
HERIDOS,01/04/2020 12:00:00 AM,2020,1899-12-31T08:00:00.000,MAÑANA,6_SABADO,CAÑA MIEL,CALLE 44 CARRERA 18-19,URBANA,TECNICO,353.856,-7.629.026,POR ESTABLECER,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PALMIRA,PUBLICO,PALMERAS,,
HERIDOS,01/04/2020 12:00:00 AM,2020,1899-12-31T08:00:00.000,MAÑANA,6_SABADO,CAÑA MIEL,CALLE 44 CARRERA 18-19,URBANA,TECNICO,353.856,-7.629.026,POR ESTABLECER,MOTOCICLISTA,CHOQUE,1,NO APLICA,RAUL,NO APLICA,MOTO,YAMAHA,GUACARI,PARTICULAR,NO APLICA,,
DAÑOS,01/05/2020 12:00:00 AM,2020,1899-12-31T17:10:00.000,TARDE,7_DOMINGO,CAÑA MIEL,CARRERA 19 CALLE 46,URBANA,TECNICO,354.086,-7.629.091,GIRAR BRUSCAMENTE,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/05/2020 12:00:00 AM,2020,1899-12-31T17:10:00.000,TARDE,7_DOMINGO,CAÑA MIEL,CARRERA 19 CALLE 46,URBANA,TECNICO,354.086,-7.629.091,GIRAR BRUSCAMENTE,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,SUZUKI,PALMIRA,PARTICULAR,NO APLICA,,
DAÑOS,01/06/2020 12:00:00 AM,2020,1899-12-31T16:15:00.000,TARDE,1_LUNES,SESQUI,CARRERA 32 CALLE 15 -14,URBANA,TECNICO,351.421,-7.630.574,NO MANTENER DISTANCIA DE SEGURIDAD,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PUBLICO,NO APLICA,,
DAÑOS,01/06/2020 12:00:00 AM,2020,1899-12-31T16:15:00.000,TARDE,1_LUNES,SESQUI,CARRERA 32 CALLE 15 -14,URBANA,TECNICO,351.421,-7.630.574,NO MANTENER DISTANCIA DE SEGURIDAD,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,,
HERIDOS,01/06/2020 12:00:00 AM,2020,1899-12-31T16:20:00.000,TARDE,1_LUNES,URIBE,CALLE 33 CARRERA 21,URBANA,TECNICO,352.947,-7.629.263,NO RESPETAR PRELACION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,MAZDA,MANIZALES,PARTICULAR,NO APLICA,,
HERIDOS,01/06/2020 12:00:00 AM,2020,1899-12-31T16:20:00.000,TARDE,1_LUNES,URIBE,CALLE 33 CARRERA 21,URBANA,TECNICO,352.947,-7.629.263,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,MOTO,JIANLIGN,CALI,PARTICULAR,NO APLICA,,
HERIDOS,01/06/2020 12:00:00 AM,2020,1899-12-31T21:00:00.000,NOCHE,1_LUNES,RECREO,CALLE 21 CARRERA 26,URBANA,TECNICO,3.5193,-762.985,DESOBEDECER SEÑALES,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,MOTO,HONDA,GUACARI,PARTICULAR,NO APLICA,,
HERIDOS,01/06/2020 12:00:00 AM,2020,1899-12-31T21:00:00.000,NOCHE,1_LUNES,RECREO,CALLE 21 CARRERA 26,URBANA,TECNICO,3.5193,-762.985,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PALMIRA,PARTICULAR,NO APLICA,,
HERIDOS,01/03/2020 12:00:00 AM,2020,1899-12-31T17:30:00.000,TARDE,5_VIERNES,CENTRO POBLADO LA TORRE,CALEJON LOS PRADO,RURAL,TECNICO,361.874,-7.642.553,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,1,NO APLICA,RAUL,NO APLICA,MOTO,HONDA,CAQUETA,PARTICULAR,NO APLICA,,
HERIDOS,01/03/2020 12:00:00 AM,2020,1899-12-31T17:30:00.000,TARDE,5_VIERNES,CENTRO POBLADO LA TORRE,CALEJON LOS PRADO,RURAL,TECNICO,361.874,-7.642.553,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,1,NO APLICA,RAUL,NO APLICA,MOTO,SUZUKI,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/04/2020 12:00:00 AM,2020,1899-12-31T05:30:00.000,MADRUGADA,6_SABADO,PRADO,CALLE 42 CARRERA 38-71,URBANA,TECNICO,353.887,-7.630.879,MICRO SUEÑO,NO APLICA,CHOQUE OBJETO FIJO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,TOYOTA,SABANETA,PARTICULAR,NO APLICA,,
DAÑOS,01/07/2020 12:00:00 AM,2020,1899-12-31T23:10:00.000,NOCHE,2_MARTES,FRAY LUIS,CALLE 41 CARRERA 39,URBANA,TECNICO,353.788,-7.630.986,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MICROBUS,HYUNDAI,BOGOTA,PUBLICO,NO APLICA,,
DAÑOS,01/07/2020 12:00:00 AM,2020,1899-12-31T23:10:00.000,NOCHE,2_MARTES,FRAY LUIS,CALLE 41 CARRERA 39,URBANA,TECNICO,353.788,-7.630.986,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,IBAGUE,PARTICULAR,NO APLICA,,
